===============================================================================
Id,TSLA,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
81,TSLA,81,2018-04-27 23:59:59.999989,285.37,294.47,283.83,294.08,4364600.0,0.0,294.079987,TestStrategy,81,736811.9999999999,Broker,81,1000.0,1000.0,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,TSLA,82,2018-04-30 23:59:59.999989,293.61,298.73,292.5,293.9,4228200.0,0.0,293.899994,TestStrategy,82,736814.9999999999,Broker,82,1000.0,1000.0,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,TSLA,83,2018-05-01 23:59:59.999989,293.51,300.82,293.22,299.92,4625600.0,0.0,299.920013,TestStrategy,83,736815.9999999999,Broker,83,1000.0,1000.0,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,TSLA,84,2018-05-02 23:59:59.999989,298.57,306.85,297.78,301.15,8970400.0,0.0,301.149994,TestStrategy,84,736816.9999999999,Broker,84,1000.0,1000.0,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,TSLA,85,2018-05-03 23:59:59.999989,278.79,288.04,275.23,284.45,17352100.0,0.0,284.450012,TestStrategy,85,736817.9999999999,Broker,85,1000.0,1000.0,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,TSLA,86,2018-05-04 23:59:59.999989,283.0,296.86,279.52,294.09,8569400.0,0.0,294.089996,TestStrategy,86,736818.9999999999,Broker,86,1000.0,1000.0,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,TSLA,87,2018-05-07 23:59:59.999989,297.5,305.96,295.17,302.77,8678200.0,0.0,302.769989,TestStrategy,87,736821.9999999999,Broker,87,1000.0,1000.0,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,TSLA,88,2018-05-08 23:59:59.999989,300.8,307.75,299.0,301.97,5930000.0,0.0,301.970001,TestStrategy,88,736822.9999999999,Broker,88,1000.0,1000.0,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,TSLA,89,2018-05-09 23:59:59.999989,300.41,307.01,300.05,306.85,5727400.0,0.0,306.850006,TestStrategy,89,736823.9999999999,Broker,89,1000.0,1000.0,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,TSLA,90,2018-05-10 23:59:59.999989,307.5,312.99,304.11,305.02,5651600.0,0.0,305.019989,TestStrategy,90,736824.9999999999,Broker,90,1000.0,1000.0,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,TSLA,91,2018-05-11 23:59:59.999989,307.7,308.88,299.08,301.06,4679600.0,0.0,301.059998,TestStrategy,91,736825.9999999999,Broker,91,1000.0,1000.0,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,TSLA,92,2018-05-14 23:59:59.999989,303.32,304.94,291.62,291.97,7286800.0,0.0,291.970001,TestStrategy,92,736828.9999999999,Broker,92,1000.0,1000.0,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,TSLA,93,2018-05-15 23:59:59.999989,285.01,286.96,280.5,284.18,9519200.0,0.0,284.179993,TestStrategy,93,736829.9999999999,Broker,93,1000.0,1000.0,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,TSLA,94,2018-05-16 23:59:59.999989,283.83,288.81,281.56,286.48,5674000.0,0.0,286.480011,TestStrategy,94,736830.9999999999,Broker,94,1000.0,1000.0,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,TSLA,95,2018-05-17 23:59:59.999989,285.9,289.19,283.97,284.54,4420600.0,0.0,284.540009,TestStrategy,95,736831.9999999999,Broker,95,1000.0,1000.0,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,TSLA,96,2018-05-18 23:59:59.999989,284.65,284.65,274.0,276.82,7251900.0,0.0,276.820007,TestStrategy,96,736832.9999999999,Broker,96,1000.0,1000.0,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,TSLA,97,2018-05-21 23:59:59.999989,281.33,291.49,281.3,284.49,9182600.0,0.0,284.48999,TestStrategy,97,736835.9999999999,Broker,97,1000.0,1000.0,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,TSLA,98,2018-05-22 23:59:59.999989,287.76,288.0,273.42,275.01,8945800.0,0.0,275.01001,TestStrategy,98,736836.9999999999,Broker,98,1000.0,1000.0,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,TSLA,99,2018-05-23 23:59:59.999989,277.76,279.91,274.0,279.07,5985100.0,0.0,279.070007,TestStrategy,99,736837.9999999999,Broker,99,1000.0,1000.0,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,TSLA,100,2018-05-24 23:59:59.999989,278.4,281.11,274.89,277.85,4176700.0,0.0,277.850006,TestStrategy,100,736838.9999999999,Broker,100,1000.0,1000.0,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,TSLA,101,2018-05-25 23:59:59.999989,277.63,279.64,275.61,278.85,3875100.0,0.0,278.850006,TestStrategy,101,736839.9999999999,Broker,101,1000.0,1000.0,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,TSLA,102,2018-05-29 23:59:59.999989,278.51,286.5,276.15,283.76,5666600.0,0.0,283.76001,TestStrategy,102,736843.9999999999,Broker,102,1000.0,1000.0,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,TSLA,103,2018-05-30 23:59:59.999989,283.29,295.01,281.6,291.72,7489700.0,0.0,291.720001,TestStrategy,103,736844.9999999999,Broker,103,1000.0,1000.0,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,TSLA,104,2018-05-31 23:59:59.999989,287.21,290.37,282.93,284.73,5919700.0,0.0,284.730011,TestStrategy,104,736845.9999999999,Broker,104,1000.0,1000.0,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,TSLA,105,2018-06-01 23:59:59.999989,285.86,291.95,283.84,291.82,5424400.0,0.0,291.820007,TestStrategy,105,736846.9999999999,Broker,105,1000.0,1000.0,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,TSLA,106,2018-06-04 23:59:59.999989,294.34,299.0,293.55,296.74,4797800.0,0.0,296.73999,TestStrategy,106,736849.9999999999,Broker,106,1000.0,1000.0,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,TSLA,107,2018-06-05 23:59:59.999989,297.7,297.8,286.74,291.13,5995200.0,0.0,291.130005,TestStrategy,107,736850.9999999999,Broker,107,1000.0,1000.0,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,TSLA,108,2018-06-06 23:59:59.999989,300.5,322.17,297.48,319.5,18767300.0,0.0,319.5,TestStrategy,108,736851.9999999999,Broker,108,1000.0,1000.0,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,TSLA,109,2018-06-07 23:59:59.999989,316.15,330.0,313.58,316.09,14345300.0,0.0,316.089996,TestStrategy,109,736852.9999999999,Broker,109,1000.0,1000.0,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,TSLA,110,2018-06-08 23:59:59.999989,319.0,324.48,317.15,317.66,8205200.0,0.0,317.660004,TestStrategy,110,736853.9999999999,Broker,110,1000.0,1000.0,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,TSLA,111,2018-06-11 23:59:59.999989,322.51,334.66,322.5,332.1,13183500.0,0.0,332.100006,TestStrategy,111,736856.9999999999,Broker,111,1000.0,1000.0,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,TSLA,112,2018-06-12 23:59:59.999989,344.7,354.97,338.0,342.77,22347400.0,0.0,342.769989,TestStrategy,112,736857.9999999999,Broker,112,1000.0,1000.0,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,TSLA,113,2018-06-13 23:59:59.999989,346.71,347.2,339.8,344.78,9469800.0,0.0,344.779999,TestStrategy,113,736858.9999999999,Broker,113,1000.0,1000.0,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,TSLA,114,2018-06-14 23:59:59.999989,347.63,358.75,346.6,357.72,10981000.0,0.0,357.720001,TestStrategy,114,736859.9999999999,Broker,114,1000.0,1000.0,BuySell,114,,,Trades - Net Profit/Loss,114,,
115,TSLA,115,2018-06-15 23:59:59.999989,353.84,364.67,351.25,358.17,10848300.0,0.0,358.170013,TestStrategy,115,736860.9999999999,Broker,115,1000.0,1000.0,BuySell,115,,,Trades - Net Profit/Loss,115,,
116,TSLA,116,2018-06-18 23:59:59.999989,355.4,373.73,354.5,370.83,12073200.0,0.0,370.829987,TestStrategy,116,736863.9999999999,Broker,116,1000.0,1000.0,BuySell,116,,,Trades - Net Profit/Loss,116,,
