===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,cruceSMA_,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
78,,78,2020-04-22 00:00:00,68.40249633789062,69.4749984741211,68.05000305175781,69.0250015258789,116862400.0,,cruceSMA_,78,737537.0,Broker,78,55.88499450683594,193.93499755859375,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,,79,2020-04-23 00:00:00,68.96749877929688,70.4375,68.71749877929688,68.75749969482422,124814400.0,,cruceSMA_,79,737538.0,Broker,79,55.88499450683594,193.39999389648438,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,,80,2020-04-24 00:00:00,69.30000305175781,70.75250244140625,69.25,70.74250030517578,126161200.0,,cruceSMA_,80,737539.0,Broker,80,55.88499450683594,197.3699951171875,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,,81,2020-04-27 00:00:00,70.44999694824219,71.13500213623047,69.98750305175781,70.7925033569336,117087600.0,,cruceSMA_,81,737542.0,Broker,81,55.88499450683594,197.47000122070312,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,,82,2020-04-28 00:00:00,71.2699966430664,71.4574966430664,69.55000305175781,69.6449966430664,112004800.0,,cruceSMA_,82,737543.0,Broker,82,55.88499450683594,195.17498779296875,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,,83,2020-04-29 00:00:00,71.18250274658203,72.4175033569336,70.97250366210938,71.93250274658203,137280800.0,,cruceSMA_,83,737544.0,Broker,83,55.88499450683594,199.75,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,,84,2020-04-30 00:00:00,72.48999786376953,73.63249969482422,72.0875015258789,73.44999694824219,183064000.0,,cruceSMA_,84,737545.0,Broker,84,55.88499450683594,202.7849884033203,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,,85,2020-05-01 00:00:00,71.5625,74.75,71.4625015258789,72.26750183105469,240616800.0,,cruceSMA_,85,737546.0,Broker,85,55.88499450683594,200.4199981689453,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,,86,2020-05-04 00:00:00,72.2925033569336,73.42250061035156,71.58000183105469,73.29000091552734,133568000.0,,cruceSMA_,86,737549.0,Broker,86,55.88499450683594,202.46499633789062,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,,87,2020-05-05 00:00:00,73.76499938964844,75.25,73.61499786376953,74.38999938964844,147751200.0,,cruceSMA_,87,737550.0,Broker,87,55.88499450683594,204.6649932861328,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,,88,2020-05-06 00:00:00,75.11499786376953,75.80999755859375,74.71749877929688,75.15750122070312,142333600.0,,cruceSMA_,88,737551.0,Broker,88,55.88499450683594,206.1999969482422,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,,89,2020-05-07 00:00:00,75.80500030517578,76.2925033569336,75.49250030517578,75.93499755859375,115215200.0,,cruceSMA_,89,737552.0,Broker,89,55.88499450683594,207.75498962402344,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,,90,2020-05-08 00:00:00,76.41000366210938,77.5875015258789,76.07250213623047,77.53250122070312,133838400.0,,cruceSMA_,90,737553.0,Broker,90,55.88499450683594,210.9499969482422,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,,91,2020-05-11 00:00:00,77.0250015258789,79.26249694824219,76.80999755859375,78.75250244140625,145946400.0,,cruceSMA_,91,737556.0,Broker,91,55.88499450683594,213.38999938964844,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,,92,2020-05-12 00:00:00,79.4574966430664,79.92250061035156,77.72750091552734,77.85250091552734,162301200.0,,cruceSMA_,92,737557.0,Broker,92,55.88499450683594,211.58999633789062,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,,93,2020-05-13 00:00:00,78.0374984741211,78.98750305175781,75.80249786376953,76.9124984741211,200622400.0,,cruceSMA_,93,737558.0,Broker,93,55.88499450683594,209.70999145507812,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,,94,2020-05-14 00:00:00,76.12750244140625,77.44750213623047,75.38249969482422,77.38500213623047,158929200.0,,cruceSMA_,94,737559.0,Broker,94,55.88499450683594,210.65499877929688,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,,95,2020-05-15 00:00:00,75.0875015258789,76.9749984741211,75.05249786376953,76.92749786376953,166348400.0,,cruceSMA_,95,737560.0,Broker,95,55.88499450683594,209.739990234375,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,,96,2020-05-18 00:00:00,78.2925033569336,79.125,77.58000183105469,78.73999786376953,135178400.0,,cruceSMA_,96,737563.0,Broker,96,55.88499450683594,213.364990234375,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,,97,2020-05-19 00:00:00,78.75749969482422,79.62999725341797,78.25250244140625,78.28500366210938,101729600.0,,cruceSMA_,97,737564.0,Broker,97,55.88499450683594,212.4550018310547,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,,98,2020-05-20 00:00:00,79.16999816894531,79.87999725341797,79.12999725341797,79.80750274658203,111504800.0,,cruceSMA_,98,737565.0,Broker,98,55.88499450683594,215.5,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,,99,2020-05-21 00:00:00,79.66500091552734,80.22250366210938,78.96749877929688,79.2125015258789,102688800.0,,cruceSMA_,99,737566.0,Broker,99,55.88499450683594,214.30999755859375,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,,100,2020-05-22 00:00:00,78.94249725341797,79.80750274658203,78.8375015258789,79.72250366210938,81803200.0,,cruceSMA_,100,737567.0,Broker,100,55.88499450683594,215.3300018310547,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,,101,2020-05-26 00:00:00,80.875,81.05999755859375,79.125,79.18250274658203,125522000.0,,cruceSMA_,101,737571.0,Broker,101,55.88499450683594,214.25,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,,102,2020-05-27 00:00:00,79.03500366210938,79.67749786376953,78.27249908447266,79.52749633789062,112945200.0,,cruceSMA_,102,737572.0,Broker,102,55.88499450683594,214.9399871826172,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,,103,2020-05-28 00:00:00,79.19249725341797,80.86000061035156,78.90750122070312,79.5625,133560800.0,,cruceSMA_,103,737573.0,Broker,103,55.88499450683594,215.00999450683594,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,,104,2020-05-29 00:00:00,79.8125,80.2874984741211,79.11750030517578,79.48500061035156,153532400.0,,cruceSMA_,104,737574.0,Broker,104,55.88499450683594,214.85499572753906,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,,105,2020-06-01 00:00:00,79.4375,80.5875015258789,79.30249786376953,80.4625015258789,80791200.0,,cruceSMA_,105,737577.0,Broker,105,55.88499450683594,216.80999755859375,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,,106,2020-06-02 00:00:00,80.1875,80.86000061035156,79.73249816894531,80.83499908447266,87642800.0,,cruceSMA_,106,737578.0,Broker,106,55.88499450683594,217.55499267578125,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,,107,2020-06-03 00:00:00,81.16500091552734,81.55000305175781,80.57499694824219,81.27999877929688,104491200.0,,cruceSMA_,107,737579.0,Broker,107,55.88499450683594,218.4449920654297,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,,108,2020-06-04 00:00:00,81.09750366210938,81.40499877929688,80.19499969482422,80.58000183105469,87560400.0,,cruceSMA_,108,737580.0,Broker,108,55.88499450683594,217.0449981689453,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,,109,2020-06-05 00:00:00,80.8375015258789,82.9375,80.80750274658203,82.875,137250400.0,,cruceSMA_,109,737581.0,Broker,109,55.88499450683594,221.63499450683594,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,,110,2020-06-08 00:00:00,82.5625,83.4000015258789,81.83000183105469,83.36499786376953,95654400.0,,cruceSMA_,110,737584.0,Broker,110,55.88499450683594,222.614990234375,BuySell,110,,,Trades - Net Profit/Loss,110,,
